account_canonical_id,run_datetime,tripped,trigger,domain,excess_cash_amount
non-registered-28_jbru0,2024-07-12T13:30:17.148257,TRUE,Excess cash,Assets,
tfsa-lhyolh81,2024-07-10T13:30:16.627990,TRUE,Excess cash,Assets,
tfsa-51je35na,2024-07-15T16:23:37.828992,TRUE,Excess cash,Assets,
rrsp-gvfvjmja,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
tfsa-yr4ehrup,2024-07-11T13:30:15.582749,TRUE,Excess cash,Assets,
tfsa-c1zziq9w,2024-07-09T13:30:14.958097,TRUE,Excess cash,Assets,
tfsa-cfkoqJ6XrA,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
tfsa-4fyknuxg,2024-07-15T16:23:37.828992,TRUE,Excess cash,Assets,
tfsa-wqar9gcd,2024-07-11T13:30:15.582749,TRUE,Excess cash,Assets,
tfsa-5yvponjp,2024-07-09T13:30:14.958097,TRUE,Excess cash,Assets,
tfsa-kqgvitea,2024-07-09T13:30:14.958097,TRUE,Excess cash,Assets,
tfsa-ainlgzbx,2024-07-12T13:30:17.148257,TRUE,Excess cash,Assets,
tfsa-WGh3UpxKkw,2024-07-15T16:23:37.828992,TRUE,Portfolio rebalance,Assets,
tfsa-3gvtPhoJfg,2024-07-15T16:23:37.828992,TRUE,Portfolio rebalance,Assets,
non-registered-ay3m5fn6,2024-07-15T13:30:16.884010,TRUE,Portfolio rebalance,Assets,
tfsa-hvd5czrc,2024-07-15T16:23:37.828992,TRUE,Excess cash,Assets,
joint-zf4lxcvn,2024-07-15T16:23:37.828992,TRUE,Excess cash,Assets,
tfsa-njvsshr_,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
non-registered-vgwfy3_f,2024-07-12T13:30:17.148257,TRUE,Excess cash,Assets,
non-registered-DHqor8jXew,2024-07-15T13:30:16.884010,TRUE,Portfolio rebalance,Assets,
tfsa-0zzqtnwv,2024-07-10T13:30:16.627990,TRUE,Excess cash,Assets,
tfsa-Ftld_9XMlw,2024-07-10T13:30:16.627990,TRUE,Excess cash,Assets,
tfsa-7fhl0bew,2024-07-09T16:18:58.633409,TRUE,Excess cash,Assets,
non-registered-a9hlrpft,2024-07-11T13:30:15.582749,TRUE,Excess cash,Assets,
tfsa-h868pdwo,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
tfsa-uyg6mHPWNQ,2024-07-10T13:30:16.627990,TRUE,Excess cash,Assets,
tfsa-ext4yndc,2024-07-15T16:23:37.828992,TRUE,Excess cash,Assets,
non-registered-h49qqml,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
non-registered-zd8-wqhw,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
tfsa-xsz_fx9z,2024-07-09T13:30:14.958097,TRUE,Excess cash,Assets,
tfsa-njvsshr_,2024-07-15T13:30:16.884010,TRUE,Portfolio rebalance,Assets,
tfsa-DjWzNghEIw,2024-07-15T16:23:37.828992,TRUE,Portfolio rebalance,Assets,
tfsa-qlqqgqpp,2024-07-09T16:18:58.633409,TRUE,Excess cash,Assets,
tfsa-n6ew8x8u,2024-07-09T16:18:58.633409,TRUE,Excess cash,Assets,
joint-qr3lispn,2024-07-10T13:30:16.627990,TRUE,Excess cash,Assets,
tfsa-hfzau8hp,2024-07-09T13:30:14.958097,TRUE,Excess cash,Assets,
non-registered-5o0dw895,2024-07-11T13:30:15.582749,TRUE,Excess cash,Assets,
rrsp-6jvtrarm,2024-07-09T13:30:14.958097,TRUE,Excess cash,Assets,
tfsa-knybo0xe,2024-07-09T16:18:58.633409,TRUE,Excess cash,Assets,
non-registered-epspnh0l,2024-07-11T13:30:15.582749,TRUE,Excess cash,Assets,
tfsa-V1Trq_7kzw,2024-07-15T13:30:16.884010,TRUE,Portfolio rebalance,Assets,
tfsa-gkxexao3,2024-07-15T16:23:37.828992,TRUE,Excess cash,Assets,
non-registered-O956bJglnA,2024-07-15T16:23:37.828992,TRUE,Excess cash,Assets,
tfsa-MIKdE_lb3A,2024-07-15T13:30:16.884010,TRUE,Liquidation,Assets,
tfsa-7dgzfj4u,2024-07-09T16:18:58.633409,TRUE,Excess cash,Assets,
tfsa-SjmRjy9OAA,2024-07-15T13:30:16.884010,TRUE,Excess cash,Assets,
tfsa-jhomgipw,2024-07-15T16:23:37.828992,TRUE,Excess cash,Assets,
non-registered-ckimfbgp,2024-07-12T13:30:17.148257,TRUE,Excess cash,Assets,
